epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1969.3,0.62304,0.40745,0.85893,0.95046,0.95884,0.97255,0.80782,0.61185,0.36369,0.87504,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2024.43,0.62606,0.40158,0.85714,0.96683,0.96167,0.97603,0.80292,0.63377,0.35328,0.88343,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2079.6,0.62128,0.39938,0.85463,0.95537,0.95921,0.97611,0.80686,0.61786,0.35657,0.87246,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2134.52,0.62325,0.39519,0.8571,0.96162,0.95349,0.97401,0.81013,0.60656,0.37531,0.87411,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2189.8,0.6109,0.39665,0.85294,0.96438,0.96932,0.97942,0.8114,0.61081,0.35095,0.87296,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2245.54,0.60105,0.39041,0.85128,0.95215,0.96088,0.97446,0.79936,0.61831,0.38383,0.87919,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2301.01,0.60061,0.3879,0.84767,0.95591,0.96288,0.97828,0.81244,0.61138,0.34842,0.8728,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2355.87,0.59569,0.38627,0.84785,0.96112,0.96199,0.97867,0.81327,0.61499,0.3525,0.87317,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2411.1,0.59041,0.37519,0.84487,0.95378,0.96067,0.97595,0.81212,0.60896,0.35664,0.87191,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2466.64,0.57934,0.36956,0.84122,0.94685,0.96578,0.97389,0.80783,0.60492,0.35746,0.86669,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2521.97,0.58192,0.37049,0.84518,0.96597,0.96443,0.9789,0.82071,0.60878,0.33611,0.87356,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2577.21,0.57556,0.37001,0.84352,0.95204,0.958,0.97335,0.81158,0.60095,0.35064,0.87178,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2632.56,0.57379,0.37127,0.84516,0.96726,0.96584,0.97762,0.82115,0.60115,0.32858,0.87306,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2687.95,0.56816,0.35941,0.84319,0.9661,0.9587,0.97626,0.81633,0.60758,0.33399,0.87869,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2743.37,0.55893,0.36211,0.84105,0.9634,0.96619,0.97782,0.82057,0.60218,0.34285,0.8789,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2798.47,0.55633,0.36481,0.84038,0.96332,0.964,0.97486,0.81599,0.59223,0.33389,0.87216,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2853.74,0.55311,0.35701,0.83823,0.96334,0.96397,0.97364,0.81781,0.59689,0.33942,0.8676,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2909.53,0.53918,0.35166,0.8387,0.9536,0.95984,0.97231,0.81339,0.60887,0.34461,0.87579,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2964.72,0.53943,0.3533,0.83616,0.96293,0.97405,0.97611,0.8117,0.62232,0.32987,0.87588,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,3019.81,0.54345,0.34804,0.83782,0.96575,0.95843,0.98011,0.82173,0.60424,0.3321,0.87672,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,3074.61,0.53668,0.34415,0.83639,0.95016,0.96745,0.97614,0.81613,0.60462,0.33894,0.87689,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3129.81,0.52794,0.34156,0.83575,0.96119,0.97096,0.97498,0.8153,0.59586,0.33049,0.86944,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3185.09,0.51961,0.33717,0.8322,0.96931,0.96169,0.97775,0.8169,0.59983,0.3369,0.87384,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3240.58,0.52731,0.3375,0.83424,0.96564,0.96053,0.97988,0.81332,0.59669,0.32023,0.87002,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3295.86,0.52188,0.33588,0.83277,0.94231,0.95925,0.97508,0.81564,0.60197,0.33291,0.87446,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3351.14,0.51564,0.33587,0.83114,0.95659,0.96549,0.9792,0.82371,0.6033,0.32285,0.87167,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3406.63,0.51567,0.33199,0.83191,0.96603,0.96866,0.97584,0.81992,0.59718,0.31989,0.87666,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3462.37,0.50894,0.33221,0.82986,0.96884,0.96514,0.97775,0.81869,0.60051,0.31853,0.87577,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3517.48,0.50842,0.3295,0.82986,0.95796,0.97291,0.9786,0.82178,0.59525,0.32128,0.86931,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3572.55,0.50041,0.32625,0.83003,0.95998,0.964,0.97845,0.8226,0.59789,0.32464,0.87182,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3627.68,0.4998,0.32248,0.82804,0.94393,0.9663,0.97709,0.81558,0.60403,0.33232,0.87357,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3682.83,0.4984,0.32766,0.82874,0.9591,0.97038,0.9801,0.82524,0.58682,0.31947,0.87398,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3737.99,0.48729,0.32065,0.82706,0.94848,0.96686,0.97998,0.82289,0.60174,0.31876,0.87377,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,3793.12,0.49183,0.32148,0.8274,0.95164,0.96249,0.97659,0.82133,0.59242,0.31977,0.87419,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,3848.37,0.48568,0.31636,0.82459,0.96712,0.96527,0.9776,0.82637,0.59713,0.31807,0.87473,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
