epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
137,7763.43,0.36251,0.24102,0.80287,0.96778,0.96208,0.97981,0.83032,0.59657,0.30245,0.87645,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,7818.85,0.36255,0.24361,0.80439,0.9679,0.96449,0.97841,0.82841,0.59847,0.29774,0.87604,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,7874.03,0.35955,0.24057,0.80382,0.96355,0.96766,0.97778,0.83302,0.59713,0.30454,0.87798,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
140,7929.22,0.34885,0.23783,0.80249,0.96541,0.96836,0.97756,0.83026,0.59301,0.30447,0.87639,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413
141,7984.63,0.35197,0.23548,0.80341,0.96817,0.96672,0.97932,0.83062,0.59689,0.30408,0.87692,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
142,8039.84,0.35501,0.23796,0.8015,0.9674,0.96466,0.97641,0.82422,0.60136,0.31765,0.87431,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
143,8095,0.35521,0.23771,0.80248,0.96435,0.96565,0.97824,0.83096,0.60206,0.3066,0.87517,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
144,8150,0.34959,0.23186,0.80115,0.96409,0.9655,0.97736,0.83116,0.59287,0.30868,0.87303,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281
145,8205.16,0.34787,0.2328,0.79882,0.96312,0.96444,0.97852,0.83023,0.5932,0.31597,0.87332,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
146,8260.74,0.34813,0.22994,0.80204,0.96232,0.95606,0.97872,0.82984,0.59634,0.30294,0.87464,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
147,8316.03,0.35005,0.23296,0.80114,0.96205,0.95755,0.97965,0.8314,0.59296,0.30286,0.8724,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
148,8371.2,0.35256,0.23405,0.79975,0.9464,0.97363,0.97924,0.82961,0.59395,0.30245,0.87271,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
149,8426.33,0.34294,0.23129,0.80073,0.96166,0.96885,0.97599,0.83011,0.59275,0.29892,0.87183,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
